,count,mean,std,min,25%,50%,75%,max
Sensor_001,1567.0,3014.4415507338863,73.4808414832771,2743.24,2966.665,3011.49,3056.54,3356.35
Sensor_002,1567.0,2495.8661104020425,80.22814344770211,2158.75,2452.885,2499.405,2538.745,2846.44
Sensor_003,1567.0,2200.5519580089344,29.380973145346264,2060.66,2181.09995,2201.0667,2218.0555,2315.2667
Sensor_004,1567.0,1395.383474090619,439.8373298736895,0.0,1083.8858,1285.2144,1590.1699,3715.0417
Sensor_005,1567.0,4.171280536056158,56.10372104597968,0.6815,1.0177,1.3168,1.5188,1114.5366
Sensor_006,1567.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0
Sensor_007,1567.0,101.11647562220804,6.209384678924411,82.1311,97.9378,101.5122,104.53,129.2522
Sensor_008,1567.0,0.12182482450542437,0.008935637045227823,0.0,0.1211,0.1224,0.1238,0.1286
Sensor_009,1567.0,1.4628600510529675,0.07384937208148824,1.191,1.41125,1.4616,1.5168499999999998,1.6564
Sensor_010,1567.0,-0.0008416081684747925,0.01510654259204254,-0.0534,-0.0108,-0.0013,0.0084,0.0749
Sensor_011,1567.0,0.00014607530312699425,0.009296167564866193,-0.0349,-0.0056,0.0004,0.0059,0.053
Sensor_012,1567.0,0.9643546266751756,0.012444205080054763,0.6554,0.9581,0.9658,0.9713,0.9848
Sensor_013,1567.0,199.95627166560303,3.2552297703980186,182.094,198.13094999999998,199.5356,202.00675,272.0451
Sensor_014,1567.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sensor_015,1567.0,9.005297064454373,2.7939160590053294,2.2493,7.09675,8.966999999999999,10.858699999999999,19.5465
Sensor_016,1567.0,413.08437568602426,17.2046331182602,333.4486,406.131,412.2191,419.0828,824.9271
Sensor_017,1567.0,9.9074958838545,2.4015642182558303,4.4696,9.56855,9.85175,10.12775,102.8677
Sensor_018,1567.0,0.9714461391193363,0.01205095911832605,0.5794,0.96825,0.9726,0.9768,0.9848
Sensor_019,1567.0,190.04662003828972,2.778426120135571,169.1774,188.30065000000002,189.6642,192.1789,215.5977
Sensor_020,1567.0,12.481152456924061,0.2172732486756352,9.8773,12.46,12.4996,12.5471,12.9898
Sensor_021,1567.0,1.4050542437779197,0.016736932518826995,1.1797,1.3965,1.406,1.415,1.4534
Sensor_022,1567.0,-5618.2721761327375,626.4309968772158,-7150.25,-5932.625,-5523.25,-5356.625,0.0
Sensor_023,1567.0,2699.3332801531587,295.31248089264795,0.0,2578.125,2664.0,2840.625,3656.25
Sensor_024,1567.0,-3806.3181768985323,1379.280633188013,-9986.75,-4370.625,-3820.75,-3356.375,2363.0
Sensor_025,1567.0,-298.31753841735804,2900.8465817349406,-14804.5,-1474.375,-78.75,1376.25,14106.0
Sensor_026,1567.0,1.2039457562220806,0.17750954146513226,0.0,1.0949,1.283,1.3043,1.3828
Sensor_027,1567.0,1.9385380982769624,0.1893817701444563,0.0,1.9067500000000002,1.9865,2.0032,2.0528
Sensor_028,1567.0,6.639427058072751,1.243655497416121,0.0,5.26735,7.2647,7.3296,7.6588
Sensor_029,1567.0,69.49909336311424,3.4589918369285098,59.4,67.38335000000001,69.1556,72.25555,77.9
Sensor_030,1567.0,2.3662122527121885,0.40843334961267336,0.6667,2.0889,2.3778,2.6556,3.5111
Sensor_031,1567.0,0.18416215698787494,0.032923024371802806,0.0341,0.1618,0.1867,0.20700000000000002,0.2851
Sensor_032,1567.0,3.672880280791321,0.5350498037719443,2.0698,3.3627,3.431,3.53125,4.8044
Sensor_033,1567.0,85.33733978940651,2.025908483927662,83.1829,84.4905,85.13544999999999,85.7419,105.6038
Sensor_034,1567.0,8.960156987874921,1.3440356473573032,7.6032,8.58,8.7698,9.0606,23.3453
Sensor_035,1567.0,50.58251971920868,1.1822498847268146,49.8348,50.2529,50.3964,50.578100000000006,59.7711
Sensor_036,1567.0,64.55553816209317,2.5739452393075384,63.6774,64.0248,64.1658,64.3447,94.2641
