,mean_FAIL,mean_PASS,diff_FAIL_minus_PASS
Sensor_001,3007.52625,3014.9331373889268,-7.406887388926862
Sensor_002,2495.1014903846153,2495.9204647983597,-0.8189744137443995
Sensor_003,2200.441876923077,2200.5597833219413,-0.11790639886430654
Sensor_004,1355.7814346153848,1398.1986566643882,-42.417222049003385
Sensor_005,1.3034048076923077,4.375148667122351,-3.0717438594300437
Sensor_006,100.0,100.0,0.0
Sensor_007,101.49097211538462,101.08985386192754,0.40111825345708496
Sensor_008,0.12225673076923077,0.12179412166780587,0.00046260910142489897
Sensor_009,1.4706192307692307,1.4623084757347915,0.008310755034439232
Sensor_010,-0.002607692307692308,-0.0007160628844839372,-0.0018916294232083706
