,Sensor_060,Sensor_104,Sensor_511,Sensor_349,Sensor_432,Sensor_435,Sensor_431,Sensor_022,Sensor_436,Sensor_437,Target_FAIL
Sensor_060,1.0,0.2877414334265354,0.21781998686734816,0.14356553654233264,0.09543515070385031,0.09126870519924413,0.07231255592399372,-0.025915795577083137,0.08536427935211227,0.08467762559394648,0.15600765358943652
Sensor_104,0.2877414334265354,1.0,0.6097025344352129,0.15490238884561802,0.16904544229867063,0.15000722260324292,0.14887074346777324,0.02226298841414868,0.14809107358035023,0.14801593854310274,0.15122982385797662
Sensor_511,0.21781998686734816,0.6097025344352129,1.0,0.08009029530109338,0.1391477636123532,0.12868740852178345,0.1388635510503009,0.059848683759795115,0.12827710726716207,0.12701550479333373,0.13166206591650093
Sensor_349,0.14356553654233264,0.15490238884561802,0.08009029530109338,1.0,0.057977810148844254,0.051448268704345136,0.0379367463830513,-0.0013999035852225263,0.05081626425630862,0.05021267767291907,0.13080675914334955
Sensor_432,0.09543515070385031,0.16904544229867063,0.1391477636123532,0.057977810148844254,1.0,0.9333607589318431,0.899216499658088,0.5955310490095252,0.9295461110421068,0.9325994607027417,0.11993649667913944
Sensor_435,0.09126870519924413,0.15000722260324292,0.12868740852178345,0.051448268704345136,0.9333607589318431,1.0,0.948039220872447,0.6318175991091095,0.9936649922448775,0.9923331926044434,0.11131162913172642
Sensor_431,0.07231255592399372,0.14887074346777324,0.1388635510503009,0.0379367463830513,0.899216499658088,0.948039220872447,1.0,0.674237999788629,0.9516719858135682,0.9537222760960772,0.10911475082098826
Sensor_022,-0.025915795577083137,0.02226298841414868,0.059848683759795115,-0.0013999035852225263,0.5955310490095252,0.6318175991091095,0.674237999788629,1.0,0.6445055184647661,0.6386073431235872,0.10833341799046413
Sensor_436,0.08536427935211227,0.14809107358035023,0.12827710726716207,0.05081626425630862,0.9295461110421068,0.9936649922448775,0.9516719858135682,0.6445055184647661,1.0,0.9962160666685012,0.1082599157691687
Sensor_437,0.08467762559394648,0.14801593854310274,0.12701550479333373,0.05021267767291907,0.9325994607027417,0.9923331926044434,0.9537222760960772,0.6386073431235872,0.9962160666685012,1.0,0.10611891793326099
Target_FAIL,0.15600765358943652,0.15122982385797662,0.13166206591650093,0.13080675914334955,0.11993649667913944,0.11131162913172642,0.10911475082098826,0.10833341799046413,0.1082599157691687,0.10611891793326099,1.0
